"phenomenon_time";"id_aq_legal_station";"c6h6";"co";"no";"no2";"o3";"nox"
"2018-02-05 16:00:00";26;NULL;"0.25";NULL;"51";"34.77";NULL
"2018-02-05 17:00:00";26;NULL;"0.22";NULL;"31.66";"35.95";NULL
"2018-02-05 18:00:00";26;NULL;"0.24";NULL;"39.35";"27.24";NULL
"2018-02-05 19:00:00";26;NULL;"0.25";NULL;"30.52";"32.06";NULL
"2018-02-05 20:00:00";26;NULL;"0.26";NULL;"34.57";"27.04";NULL
"2018-02-05 21:00:00";26;NULL;"0.25";NULL;"27.57";"31.21";NULL
"2018-02-05 22:00:00";26;NULL;"0.24";NULL;"28.2";"31.23";NULL
"2018-02-05 23:00:00";26;NULL;"0.23";NULL;"17.36";"36.45";NULL
"2018-02-10 00:00:00";26;NULL;"0.15";NULL;"9.35";"69.8";NULL
"2018-02-10 01:00:00";26;NULL;"0.15";NULL;"8.84";"72.3";NULL
"2018-02-10 02:00:00";26;NULL;"0.15";NULL;"7.36";"72.78";NULL
"2018-02-10 03:00:00";26;NULL;"0.14";NULL;"6.98";"71.92";NULL
"2018-02-10 04:00:00";26;NULL;"0.14";NULL;"6.18";"71.46";NULL
"2018-02-10 05:00:00";26;NULL;"0.14";NULL;"6.95";"68.95";NULL
"2018-02-10 06:00:00";26;NULL;"0.15";NULL;"8.63";"67.54";NULL
"2018-02-10 07:00:00";26;NULL;"0.14";NULL;"11.69";"65.43";NULL
"2018-02-10 08:00:00";26;NULL;"0.15";NULL;"18.12";"59.07";NULL
"2018-02-10 09:00:00";26;NULL;"0.16";NULL;"15.77";"61.59";NULL
"2018-02-10 10:00:00";26;NULL;"0.16";NULL;"12.47";"65.69";NULL
"2018-02-10 11:00:00";26;NULL;"0.17";NULL;"10.82";"68.09";NULL
"2018-02-10 12:00:00";26;NULL;"0.16";NULL;"9.53";"70.82";NULL
"2018-02-10 13:00:00";26;NULL;"0.15";NULL;"10.43";"71.88";NULL
"2018-02-10 14:00:00";26;NULL;"0.16";NULL;"9.12";"72.87";NULL
"2018-02-10 15:00:00";26;NULL;"0.14";NULL;"7.5";"74.67";NULL
"2018-02-10 16:00:00";26;NULL;"0.15";NULL;"7.85";"73.95";NULL
"2018-02-10 17:00:00";26;NULL;"0.16";NULL;"10.86";"70.66";NULL
"2018-02-10 18:00:00";26;NULL;"0.16";NULL;"13.07";"68.55";NULL
"2018-02-10 19:00:00";26;NULL;"0.16";NULL;"14.96";"66.68";NULL
"2018-02-10 20:00:00";26;NULL;"0.17";NULL;"15.82";"61.88";NULL
"2018-02-10 21:00:00";26;NULL;"0.16";NULL;"15.9";"61.27";NULL
"2018-02-10 22:00:00";26;NULL;"0.18";NULL;"14.3";"62.29";NULL
"2018-02-10 23:00:00";26;NULL;"0.21";NULL;"13.63";"61.87";NULL
"2018-02-16 00:00:00";26;NULL;"0.74";NULL;"32.92";"6.3";NULL
"2018-02-16 01:00:00";26;NULL;"0.71";NULL;"30.83";"6.42";NULL
"2018-02-16 02:00:00";26;NULL;"0.56";NULL;"27.88";"5.33";NULL
"2018-02-16 03:00:00";26;NULL;"0.5";NULL;"22.51";"7.15";NULL
"2018-02-16 04:00:00";26;NULL;"0.48";NULL;"19.92";"17.22";NULL
"2018-02-16 05:00:00";26;NULL;"0.55";NULL;"19.79";"9.47";NULL
"2018-02-16 06:00:00";26;NULL;"0.62";NULL;"19.59";"5.68";NULL
"2018-02-16 07:00:00";26;NULL;"0.61";NULL;"19.37";"5.41";NULL
"2018-02-16 08:00:00";26;NULL;"0.65";NULL;"20.38";"5.33";NULL
"2018-02-16 09:00:00";26;NULL;"0.69";NULL;"21.81";"5.89";NULL
"2018-02-16 10:00:00";26;NULL;"0.67";NULL;"22.47";"7.53";NULL
