"id_measure";"phenomenon_time";"pollutant";"value";"road_section_id"
15352;"2018-07-18 19:00:00";"NOx";"0.318360395089503";"15671041"
15353;"2018-07-18 19:00:00";"NOx";"0";"25964360"
21135;"2018-07-18 19:00:00";"NOx";"0.329491877435289";"36072299"
15355;"2018-07-18 19:00:00";"NOx";"0.10684353153161";"292483202"
15356;"2018-07-18 19:00:00";"NOx";"0.765845985390131";"121410696"
15357;"2018-07-18 19:00:00";"NOx";"0.00680595471650643";"24433896"
15358;"2018-07-18 19:00:00";"NOx";"0";"601234733"
15359;"2018-07-18 19:00:00";"NOx";"0";"78337942"
15360;"2018-07-18 19:00:00";"NOx";"0";"24380656"
15361;"2018-07-18 19:00:00";"NOx";"0";"39373202"
15362;"2018-07-18 19:00:00";"NOx";"0";"83012712"
15363;"2018-07-18 19:00:00";"NOx";"0";"449536950"
15364;"2018-07-18 19:00:00";"NOx";"0.263816131595147";"301761361"
15365;"2018-07-18 19:00:00";"NOx";"0";"243907924"
15366;"2018-07-18 19:00:00";"NOx";"0";"39372890"
21136;"2018-07-18 19:00:00";"NOx";"0.0034032697162838";"371899705"
15368;"2018-07-18 19:00:00";"NOx";"0";"23843418"
15369;"2018-07-18 19:00:00";"NOx";"0.020442904167553";"184590122"
15370;"2018-07-18 19:00:00";"NOx";"0.0337810949783543";"24433254"
15371;"2018-07-18 19:00:00";"NOx";"0";"24576935"
15372;"2018-07-18 19:00:00";"NOx";"0";"111540074"
15373;"2018-07-18 19:00:00";"NOx";"0";"42464956"
15374;"2018-07-18 19:00:00";"NOx";"0.0471020535308151";"676935691"
15375;"2018-07-18 19:00:00";"NOx";"0.04233992260824";"38753997"
15376;"2018-07-18 19:00:00";"NOx";"0";"136858684"
15377;"2018-07-18 19:00:00";"NOx";"2.44057750431375";"415863918"
15378;"2018-07-18 19:00:00";"NOx";"0.282739651582985";"24578128"
15379;"2018-07-18 19:00:00";"NOx";"0.156953901075594";"582044186"
15380;"2018-07-18 19:00:00";"NOx";"0.022905783671084";"39503197"
15381;"2018-07-18 19:00:00";"NOx";"0";"492379142"
15382;"2018-07-18 19:00:00";"NOx";"0.0656946005034239";"108115931"
21137;"2018-07-18 19:00:00";"NOx";"0.0303000290927733";"75806677"
15384;"2018-07-18 19:00:00";"NOx";"0";"628590371"
15385;"2018-07-18 19:00:00";"NOx";"0.0330748280013724";"142892571"
15387;"2018-07-18 19:00:00";"NOx";"0";"249513301"
