"id";"fuel";"emission_standard";"pollutant";"emission_factor";"vehicle_type"
0;"petrol";"euro 4";"co";"1.10396849584808";"passenger_car"
1;"petrol";"euro 4";"nox";"0.0189550880000646";"passenger_car"
2;"petrol";"euro 4";"co";"1.10396849584808";"passenger_car"
3;"petrol";"euro 4";"nox";"0.0189550880000646";"passenger_car"
4;"petrol";"euro 5";"co";"0.960199268773321";"passenger_car"
5;"petrol";"euro 5";"nox";"0.0109562267073667";"passenger_car"
6;"petrol";"euro 5";"co";"0.960199268773321";"passenger_car"
7;"petrol";"euro 5";"nox";"0.0109562267073667";"passenger_car"
8;"petrol";"euro 6 up to 2016";"co";"0.817254539847848";"passenger_car"
9;"petrol";"euro 6 up to 2016";"nox";"0.0103654906038612";"passenger_car"
10;"petrol";"euro 6 up to 2016";"co";"0.817254539847848";"passenger_car"
11;"petrol";"euro 6 up to 2016";"nox";"0.0103654906038612";"passenger_car"
12;"petrol";"euro 6 up to 2016";"co";"0.817254539847848";"passenger_car"
13;"petrol";"euro 6 up to 2016";"nox";"0.0103654906038612";"passenger_car"
14;"petrol";"euro 6 2017-2019";"co";"0.829425849350994";"passenger_car"
15;"petrol";"euro 6 2017-2019";"nox";"0.0104775695962591";"passenger_car"
16;"petrol";"euro 6 2017-2019";"co";"0.829425849350994";"passenger_car"
17;"petrol";"euro 6 2017-2019";"nox";"0.0104775695962591";"passenger_car"
18;"petrol";"euro 6 2017-2019";"co";"0.829425849350994";"passenger_car"
19;"petrol";"euro 6 2017-2019";"nox";"0.0104775695962591";"passenger_car"
20;"petrol";"euro 6 2020+";"co";"0.829425849350994";"passenger_car"
21;"petrol";"euro 6 2020+";"nox";"0.0104775695962591";"passenger_car"
22;"petrol";"euro 6 2020+";"co";"0.829425849350994";"passenger_car"
23;"petrol";"euro 6 2020+";"nox";"0.0104775695962591";"passenger_car"
24;"petrol";"euro 6 2020+";"co";"0.829425849350994";"passenger_car"
25;"petrol";"euro 6 2020+";"nox";"0.0104775695962591";"passenger_car"
26;"petrol";"pre ece";"co";"17.4549010345527";"passenger_car"
27;"petrol";"pre ece";"nox";"1.85700000000082";"passenger_car"
28;"petrol";"ece 15/00-01";"co";"24.6392267129405";"passenger_car"
29;"petrol";"ece 15/00-01";"nox";"1.85700000000082";"passenger_car"
30;"petrol";"ece 15/02";"co";"11.0537343385922";"passenger_car"
31;"petrol";"ece 15/02";"nox";"3.62700000000014";"passenger_car"
32;"petrol";"ece 15/03";"co";"10.0497017098327";"passenger_car"
33;"petrol";"ece 15/03";"nox";"4.20800000000002";"passenger_car"
34;"petrol";"ece 15/04";"co";"5.0584269730449";"passenger_car"
35;"petrol";"ece 15/04";"nox";"3.14080000000114";"passenger_car"
36;"petrol";"improved conventional";"co";"14.9802000000053";"passenger_car"
37;"petrol";"improved conventional";"nox";"2.5171724430502";"passenger_car"
38;"petrol";"open loop";"co";"13.3220000000274";"passenger_car"
39;"petrol";"open loop";"nox";"2.02810214889641";"passenger_car"
40;"petrol";"euro 1";"co";"3.10882260461268";"passenger_car"
41;"petrol";"euro 1";"nox";"0.672578843000238";"passenger_car"
42;"petrol";"euro 2";"co";"1.31589846599602";"passenger_car"
43;"petrol";"euro 2";"nox";"0.193024576699303";"passenger_car"
44;"petrol";"euro 3";"co";"2.14264401664022";"passenger_car"
45;"petrol";"euro 3";"nox";"0.0759811849867825";"passenger_car"
46;"petrol";"euro 3";"co";"2.14264401664022";"passenger_car"
47;"petrol";"euro 3";"nox";"0.0759811849867825";"passenger_car"
48;"petrol";"euro 4";"co";"1.10396849584808";"passenger_car"
49;"petrol";"euro 4";"nox";"0.0189550880000646";"passenger_car"
50;"petrol";"euro 4";"co";"1.10396849584808";"passenger_car"
