id;fuel;emission_standard;registration_year;class
164;diesel;euro 1;1995;car
166;diesel;euro 1;1997;car
167;diesel;euro 2;1998;car
168;diesel;euro 2;1999;car
169;diesel;euro 2;2000;car
170;diesel;euro 3;2001;car
171;diesel;euro 3;2002;car
172;diesel;euro 3;2003;car
173;diesel;euro 3;2004;car
174;diesel;euro 3;2005;car
175;diesel;euro 4;2006;car
176;diesel;euro 4;2007;car
177;diesel;euro 4;2008;car
178;diesel;euro 4;2009;car
179;diesel;euro 4;2010;car
180;diesel;euro 5;2011;car
181;diesel;euro 5;2012;car
183;diesel;euro 5;2014;car
184;diesel;euro 6 up to 2017;2015;car
185;diesel;euro 6 up to 2017;2016;car
186;diesel;euro 6 up to 2017;2017;car
187;diesel;conventional;1989;car
188;petrol;conventional;1990;car
189;petrol;conventional;1991;car
190;petrol;conventional;1992;car
191;petrol;conventional;1993;car
192;petrol;euro 1;1994;car
193;petrol;euro 1;1995;car
194;petrol;euro 1;1996;car
195;petrol;euro 1;1997;car
196;petrol;euro 2;1998;car
197;petrol;euro 2;1999;car
198;petrol;euro 2;2000;car
200;petrol;euro 3;2002;car
201;petrol;euro 3;2003;car
202;petrol;euro 3;2004;car
203;petrol;euro 3;2005;car
204;petrol;euro 4;2006;car
205;petrol;euro 4;2007;car
206;petrol;euro 4;2008;car
207;petrol;euro 4;2009;car
208;petrol;euro 4;2010;car
209;petrol;euro 5;2011;car
210;petrol;euro 5;2012;car
211;petrol;euro 5;2013;car
212;petrol;euro 5;2014;car
213;petrol;euro 6 up to 2017;2015;car
214;petrol;euro 6 up to 2017;2016;car
215;petrol;euro 6 up to 2017;2017;car
217;diesel;euro 2;2005;motorcycle
218;diesel;euro 3;2006;motorcycle
219;diesel;euro 3;2007;motorcycle
220;diesel;euro 3;2008;motorcycle
221;diesel;euro 3;2007;motorcycle
222;diesel;euro 3;2014;motorcycle
223;diesel;euro 3;2016;motorcycle
224;diesel;euro 2;2005;motorcycle
225;diesel;euro 1;2002;motorcycle
226;diesel;euro 2;2003;motorcycle
227;diesel;euro 2;2004;motorcycle
228;diesel;euro 2;2005;motorcycle
229;diesel;euro 3;2006;motorcycle
230;diesel;euro 3;2007;motorcycle
232;diesel;euro 3;2009;motorcycle
233;diesel;euro 3;2010;motorcycle
234;diesel;euro 3;2011;motorcycle
235;diesel;euro 3;2012;motorcycle
236;diesel;euro 3;2013;motorcycle
237;diesel;euro 3;2014;motorcycle
238;diesel;euro 3;2015;motorcycle
239;diesel;euro 3;2016;motorcycle
240;diesel;euro 4;2017;motorcycle
241;petrol;euro 1;1990;motorcycle
242;petrol;euro 1;1991;motorcycle
243;petrol;euro 1;1992;motorcycle
244;petrol;euro 1;1993;motorcycle
245;petrol;euro 1;1994;motorcycle
246;petrol;euro 1;1995;motorcycle
247;petrol;euro 1;1996;motorcycle
248;petrol;euro 1;1997;motorcycle
249;petrol;euro 1;1998;motorcycle
251;petrol;euro 1;2000;motorcycle
252;petrol;euro 1;2001;motorcycle
253;petrol;euro 1;2002;motorcycle
254;petrol;euro 2;2003;motorcycle
255;petrol;euro 2;2004;motorcycle
256;petrol;euro 2;2005;motorcycle
257;petrol;euro 3;2006;motorcycle
258;petrol;euro 3;2007;motorcycle
259;petrol;euro 3;2008;motorcycle
146;petrol;euro 2;2005;motorcycle
147;petrol;euro 2;2006;motorcycle
263;petrol;euro 3;2012;motorcycle
264;petrol;euro 3;2013;motorcycle
265;petrol;euro 3;2014;motorcycle
266;petrol;euro 3;2015;motorcycle
267;petrol;euro 3;2016;motorcycle
268;petrol;euro 4;2017;motorcycle
269;petrol;euro 1;1989;motorcycle
271;petrol;euro 1;1991;motorcycle
272;petrol;euro 1;1992;motorcycle
273;petrol;euro 1;1993;motorcycle
274;petrol;euro 1;1994;motorcycle
275;petrol;euro 1;1995;motorcycle
276;petrol;euro 1;1996;motorcycle
277;petrol;euro 1;1997;motorcycle
278;petrol;euro 1;1998;motorcycle
279;petrol;euro 1;1999;motorcycle
280;petrol;euro 1;2000;motorcycle
281;petrol;euro 1;2001;motorcycle
282;petrol;euro 1;2002;motorcycle
283;petrol;euro 2;2003;motorcycle
284;petrol;euro 2;2004;motorcycle
285;petrol;euro 2;2005;motorcycle
286;petrol;euro 3;2006;motorcycle
287;petrol;euro 3;2007;motorcycle
288;petrol;euro 3;2008;motorcycle
290;petrol;euro 3;2010;motorcycle
291;petrol;euro 3;2011;motorcycle
292;petrol;euro 3;2012;motorcycle
293;petrol;euro 3;2013;motorcycle
294;petrol;euro 3;2014;motorcycle
295;petrol;euro 3;2015;motorcycle
296;petrol;euro 3;2016;motorcycle
297;petrol;euro 4;2017;motorcycle
298;petrol;euro 1;1989;motorcycle
299;petrol;euro 1;1990;motorcycle
300;petrol;euro 1;1991;motorcycle
301;petrol;euro 1;1992;motorcycle
302;petrol;euro 1;1993;motorcycle
