"id","type","vehicle_type","id_road_node_via","id_road_section_from","id_road_section_to","id_road_section_via"
1278932,"only_straight_on","all","995592397","85773343","85773359",NULL
1278933,"only_straight_on","all","995592380","169402112","85773354",NULL
1278934,"only_straight_on","all","995592395","85773357","85773347",NULL
1278940,"only_straight_on","all","933317822","560572945","85773404",NULL
1278941,"only_straight_on","all","933317779","169402114","85773405",NULL
1278942,"no_right_turn","all","933317842","369853556","79972796",NULL
1278943,"no_right_turn","all","995592384","369853557","85773341",NULL
1283895,"only_straight_on","all","1001486119","282857226","86277806",NULL
1283896,"only_straight_on","all","939099173","465365550","86277807",NULL
1283897,"only_straight_on","all","265032978","465365547","86277932",NULL
1283898,"only_straight_on","all","264113908","54516801","466067118",NULL
1286162,"no_right_turn","all","939079559","56151017","86463021",NULL
1286163,"only_straight_on","all","259474521","60981881","682115582",NULL
1286164,"only_straight_on","all","41430295","489320507","86463019",NULL
1286165,"only_straight_on","all","939079558","56025592","86463022",NULL
1286167,"only_straight_on","all","30438542","92741351","86463020",NULL
1286168,"only_straight_on","all","30575306","4766187","60981885",NULL
1286170,"only_straight_on","all","939079559","56025593","86463021",NULL
1286177,"only_straight_on","all","941384070","93053849","86463230",NULL
1350947,"only_straight_on","all","1075164929","32087632","92692714",NULL
1350951,"only_straight_on","all","252406080","493211624","80347965",NULL
1350954,"only_straight_on","all","598215642","493211624","80347966",NULL
1351100,"no_right_turn","all","243066351","27115071","80665504",NULL
1351101,"only_straight_on","all","243066374","92718561","92708534",NULL
1351102,"only_straight_on","all","243066415","92708506","92708518",NULL
1351103,"no_right_turn","all","243066414","22661939","80665501",NULL
1351211,"only_straight_on","all","1075378166","92718555","92718548",NULL
1351212,"only_straight_on","all","1075378166","142781458","92718551",NULL
1351427,"only_straight_on","all","941372942","24025108","92741357",NULL
1351428,"only_straight_on","all","30438543","80360723","489313924",NULL
1351429,"only_straight_on","all","30438763","294858565","86463018",NULL
1351430,"only_straight_on","all","264100222","92741382","92741254",NULL
1351437,"no_right_turn","all","939079558","56151018","86463022",NULL
1351440,"only_straight_on","all","30438543","489274579","92741257",NULL
1351441,"only_straight_on","all","264100222","92741293","92741400",NULL
1351444,"only_straight_on","all","941372942","92741254","92741366",NULL
1351445,"no_right_turn","all","30438542","92741347","86463020",NULL
1351446,"only_straight_on","all","30438581","92741267","92741351",NULL
1351549,"only_straight_on","all","296954718","83012712","92747044",NULL
1353517,"no_left_turn","all","260548856","82489617","5558797",NULL
1353552,"no_left_turn","all","249350290","80475204","93054695",NULL
1388584,"only_straight_on","all","249245951","96334911","96334918",NULL
1388585,"only_straight_on","all","1328388879","57741607","96334917",NULL
1392493,"only_straight_on","all","1119872215","96701474","96701477",NULL
1392494,"only_straight_on","all","1119872215","96701475","96701476",NULL
1397476,"only_straight_on","all","283248264","682164931","96897451",NULL
1397477,"only_straight_on","all","1122775566","472647935","96897448",NULL
1536621,"only_straight_on","all","625977139","38753994","49287184",NULL
1536622,"only_straight_on","all","259476735","38753995","38753984",NULL
1536623,"only_straight_on","all","625977139","38753993","49287185",NULL
1566317,"no_u_turn","all","1268313956","80786772","454554918",NULL
1573722,"only_straight_on","all","59756401","49287185","56151024",NULL
1614230,"no_u_turn","all","243466467","79723581","79723580",NULL
1620541,"only_straight_on","all","1126848538","170129406","117204369",NULL
1620542,"only_straight_on","all","1125481664","24340076","117204352",NULL
1620543,"only_straight_on","all","1126848511","121410698","117204367",NULL
1620544,"only_straight_on","all","1126848602","117204367","117204366",NULL
1620545,"only_straight_on","all","1125481680","465221872","117204343",NULL
1620546,"only_straight_on","all","1125481664","170129400","465365542",NULL
1620549,"only_straight_on","all","1126848554","117204369","117204368",NULL
1620550,"only_straight_on","all","1125481669","466067122","117204350",NULL
1620551,"only_straight_on","all","1125481685","676862338","117204348",NULL
1620554,"only_straight_on","all","1125481685","117204351","117204356",NULL
1620594,"only_straight_on","all","30438572","79206832","31872328",NULL
1620595,"only_straight_on","all","356902985","31872329","117213926",NULL
1656701,"only_straight_on","all","156334343","79206886","15675682",NULL
1656704,"only_straight_on","all","156334335","120925055","15675691",NULL
1656706,"only_straight_on","all","156334343","24325851","41572940",NULL
1656708,"only_straight_on","all","156334318","120925054","40706734",NULL
1656729,"only_straight_on","all","30438555","551899675","120926862",NULL
1661007,"only_straight_on","all","939274144","31786538","24412371",NULL
1661009,"only_straight_on","all","964637484","92741361","121410699",NULL
1661012,"only_straight_on","all","1125481668","31786542","121410695",NULL
1661015,"only_straight_on","all","30389505","28231372","80784907",NULL
1674509,"no_u_turn","all","265037906","24412278","122530555",NULL
1688931,"only_straight_on","all","263324310","92692740","123432626",NULL
1688933,"only_straight_on","all","934030429","123432628","31972385",NULL
1695318,"no_left_turn","all","1116259632","124214425","124214426",NULL
1698906,"only_straight_on","all","268886996","37769967","24741180",NULL
1698907,"only_straight_on","all","283248102","124669145","24741180",NULL
1700373,"only_straight_on","all","921128137","124764206","124768943",NULL
1707554,"no_u_turn","all","1394716399","125603883","125603878",NULL
1707555,"no_u_turn","all","1394716392","125603877","125603882",NULL
1707556,"no_u_turn","all","1394716394","125603879","125603876",NULL
1707914,"no_left_turn","all","1395083834","125644931","125644924",NULL
1707915,"no_left_turn","all","919731543","23068494","125644899",NULL
1707918,"no_u_turn","all","1332251369","125644917","118443591",NULL
1707919,"only_straight_on","all","1395083888","125644949","125644947",NULL
1707920,"only_straight_on","all","1395083840","82116901","125644927",NULL
1707921,"only_straight_on","all","30438687","125644943","125644942",NULL
1707922,"only_straight_on","all","256133325","4766234","60140465",NULL
1707923,"only_straight_on","all","1395083888","80362435","125644945",NULL
1707924,"only_straight_on","all","1246618704","125644894","125644906",NULL
1707927,"only_straight_on","all","1395083889","125644947","125644951",NULL
1707929,"only_straight_on","all","1246618653","125644945","125644962",NULL
1707930,"only_straight_on","all","1395083889","80362444","125644956",NULL
1707934,"only_straight_on","all","59751391","391685905","125646772",NULL
1707935,"only_straight_on","all","59751391","206689750","125646777",NULL
1802824,"no_u_turn","all","495085646","134158144","134158143",NULL
1802825,"no_u_turn","all","443058804","134158145","134158146",NULL
1823200,"no_u_turn","all","1487540225","49022992","135436311",NULL
1823261,"no_right_turn","all","1487577316","135440532","135440508",NULL
1841438,"no_left_turn","all","1138926306","111847159","136655281",NULL
1841439,"no_left_turn","all","1138865799","136655274","136655289",NULL
1843521,"no_u_turn","all","587661910","54516654","54516655",NULL
1843522,"only_straight_on","all","905343689","136808887","397870782",NULL
1843523,"only_straight_on","all","905343720","136808886","136808893",NULL
1843524,"only_straight_on","all","685350408","136808894","54516732",NULL
1843525,"only_straight_on","all","905342888","136858696","136808887",NULL
1843526,"only_straight_on","all","905345150","136808892","136808898",NULL
1843527,"only_straight_on","all","905345559","136808888","54516731",NULL
1843528,"only_straight_on","all","905345207","136808890","136808897",NULL
1843529,"only_straight_on","all","905343694","136808899","136808886",NULL
1843530,"only_straight_on","all","905345156","136808895","136808890",NULL
1843531,"only_straight_on","all","41346279","136808901","136808892",NULL
1843532,"only_straight_on","all","905345257","136808898","136808888",NULL
1844226,"no_right_turn","all","905342625","136858698","136858675",NULL
1844227,"no_right_turn","all","905342583","397870793","136858696",NULL
1844228,"only_straight_on","all","905342625","136858681","136858675",NULL
1844229,"only_straight_on","all","905342590","136858692","136858681",NULL
1844230,"only_straight_on","all","905341410","397870777","136858684",NULL
1844231,"only_straight_on","all","905342583","136858684","136858696",NULL
1976475,"no_u_turn","all","1270508659","22697547","111540157",NULL
1991896,"no_left_turn","all","1092558169","679299459","56025571",NULL
1991897,"no_left_turn","all","1092558139","616107369","208554322",NULL
2013502,"no_u_turn","all","266990805","23313623","23313641",NULL
2013503,"no_u_turn","all","252406067","23313356","23313620",NULL
2013521,"only_straight_on","all","213564664","149307527","23313635",NULL
2013522,"only_straight_on","all","213564664","23313632","23313635",NULL
2136982,"no_right_turn","all","267197529","54948360","159640718",NULL
2136983,"no_right_turn","all","1120609645","159640720","55973878",NULL
2136984,"no_right_turn","all","1124783389","159640714","159640711",NULL
2136985,"no_right_turn","all","691370870","54948359","117204370",NULL
2136986,"no_left_turn","all","1124783389","55973881","24577328",NULL
2136987,"no_left_turn","all","1120609645","55973877","159640719",NULL
2184213,"no_left_turn","all","1698320592","505809630","157589565",NULL
2204332,"only_straight_on","all","1068492364","165462636","165462637",NULL
2204334,"no_left_turn","all","1068492357","579825603","165462636",NULL
2204335,"only_straight_on","all","1068492357","165462636","165462638",NULL
2415247,"no_left_turn","all","427780784","180975155","180975162",NULL
2415248,"no_left_turn","all","919458070","180975156","180975161",NULL
2514503,"only_straight_on","all","1974317607","255840112","186690668",NULL
2514504,"no_u_turn","all","1974317607","255840112","186690667",NULL
2629611,"no_u_turn","all","248935422","23070497","23070495",NULL
2631177,"no_u_turn","all","2026401414","192082534","192082523",NULL
2631178,"no_u_turn","all","2026401434","192082522","195572940",NULL
2775915,"only_straight_on","all","1312823956","206523557","206523397",NULL
2775919,"only_straight_on","all","248093945","206523474","166255642",NULL
2777427,"only_straight_on","all","58850772","121436745","169394512",NULL
2777490,"only_straight_on","all","158680078","4766158","107693115",NULL
2777512,"only_straight_on","all","1310079639","97667125","206640839",NULL
