"name"
"Calle de San Francisco de Borja"
"Paseo de la Gran Vía"
"Plaza de Europa"
"Plaza Basilio Paraíso"
"Calle de Domingo Miral"
"Calle del Coso"
"Calle de Menéndez Pelayo"
"Calle de Serrano Sanz"
"Calle del Jesuita Ignacio Ellacuría"
"Vía Hispanidad"
"Calle de Tomás Bretón"
"Calle de Sigüés"
"Plaza de Roma"
"Avenida de Cesáreo Alierta"
""
"Avenida de Navarra"
"Ronda Hispanidad"
"Paseo de Isabel La Católica"
"Paseo de María Agustín"
"Avenida de Madrid"
"Avenida del Alcalde Gómez Laguna"
"Calle de Cereros"
"Calle Miquel Roca i Junyent"
"Avenida de Valencia"
"Avenida Francisco de Goya"
"Calle de Duquesa Villahermosa"
"Calle de Santander"
"Camino de las Torres"
"Vía Univérsitas"
"Calle de Luis Bermejo"
"Calle de Pedro III (El Grande)"
"Calle de Jerusalén"
"Paseo de San Sebastián"
"Avenida de Tenor Fleta"
"Calle de José García Sánchez"
"Calle de Marcelino Unceta"
"Autovía del Ebro"
"Calle de María Zambrano"
"Puente de Santiago"
"Glorieta Puerta del Sol"
"Calle Don Jaime I"
"Calle Espartero"
"Autovía del Nordeste"
"Carretera de Logroño"
"Calle de la Vía"
"Calle Manifestación"
"Camino de los Galachos"
"Calle de Raquel Meller"
"Paseo de la Constitución"
"Calle San Juan de la Cruz"
"Calle Juan José Lorente"
"Calle Baltasar Gracián"
"Plaza San Francisco"
"Calle Andrés Giménez Soler"
"Calle Pedro Lucas Gallego"
"Calle Martín Cortés"
"Paseo Cuéllar"
"Avenida de la Almozara"
"Calle Jerónimo Borao"
"Paseo San José María Escrivá de Balaguer"
"Paseo de Pamplona"
"Calle del General Mayandía"
"Avenida de César Augusto"
"Paseo de Fernando El Católico"
"Carretera de Huesca"
"Calle de Wenceslao Fernández Flórez"
"Paseo de los Rosales"
"Avenida de Puerto Venecia"
"Avenida Tiziano"
"Avenida Policía Local"
"Calle Zafiro"
"Cuarta Avenida"
"Plaza de las Canteras"
"Puente de América"
"Avenida Ramón Sáinz de Varanda"
"Glorieta de los Zagries"
"Glorieta de la Selección Española de Fútbol, 'La Roja'"
"Camino del Junco"
"Camino de Cabaldós"
"Calle Puebla de Híjar"
"Tercer Cinturón"
"Calle de Valle de Broto"
"Calle Mariano Esquillor Gómez"
"Calle María de Luna"
"Calle Antón García Abril"
"Calle Poeta Luciano Gracia"
"Calle de Miguel Luesma Castán"
"Calle José María Beltrán"
"Plaza Salamero"
"Calle Azoque"
"Calle de Santa Inés"
"Calle de Predicadores"
"Calle de la Salina"
"Calle de Calatorao"
"Calle de Basilio Boggiero"
"Calle de Mayoral"
"Calle de Ramiro I de Aragón"
"Calle San Antonio Abad"
"Calle de Bolivia"
"Calle de Viena"
"Calle de Berna"
"Calle de París"
"Avenida de Puerta Sancho"
"Calle de Mónaco"
"Calle de Bruselas"
"Calle de San Pascual Bailón"
"Calle de Nuestra Señora de Salz"
"Calle de Mosén Andrés Vicente"
"Calle María de Echarri"
"Calle de Fray Juan Regla"
"Calle de Antonio Bravo"
"Calle de Eloy Martínez"
"Calle de Mariano Carderera"
"Calle de Montes Buenos Aires"
"Calle Antonio Mompeón Motos"
"Paseo de Manuel Azaña"
"Avenida de los Bearneses"
"Calle María Zayas Sotomayor"
"Calle Poeta Rosalía de Castro"
"Calle de Mariana Pineda"
"Calle Clara Campoamor"
"Rotonda Blas Infante"
"Avenida José Atarés"
"Puente de Arnal Cavero"
"Calle de San Vicente de Paúl"
"Avenida América"
"Puente de Manuel Giménez Abad"
"Calle Alonso V"
"Calle de San Jorge"
"Calle de Don Juan de Aragón"
"Calle Batalla de Arapiles"
"Calle de la Almunia de Doña Godina"
"Calle Río Ésera"
"Calle del Padre Landa"
"Calle del Padre Consolación"
"Calle de la Batalla de Almansa"
"Calle de Berlín"
"Calle de Oslo"
"Calle de Sariñena"
"Plaza de Emilio Alfaro Gracia"
"Calle de los Condes de Aragón"
"Avenida Juan Carlos I"
"Calle del Arzobispo Domenech"
"Calle Sarrion"
"Glorieta Diego Velázquez"
"Calle La Luz"
"Calle de los Jilgueros"
"Calle Arzobispo Morcillo"
"Paseo Duque de Alba"
"Calle Sevilla"
"Calle Julio Cejador Fraúca"
"Calle Sarrión"
"Calle Genoveva Torres Morales"
"Calle Nuestra Señora del Perpetuo Socorro"
"Camino de la Fuente de la Junquera"
"Calle de José Bueno Gimeno"
"Calle Doctor Lozano Monzón"
"Calle Conde de Aranda"
"Calle de Santa Teresa de Jesús"
"Calle Luis Vives"
"Calle Agustín de Quinto"
"Calle de Mariano Supervía"
"Calle de Cosme Blasco"
