"phenomenon_time","id_aq_legal_station","pm10","pm25"
"2018-02-16 15:00:00",26,"19.38",NULL
"2018-02-16 16:00:00",26,"22.34",NULL
"2018-02-16 17:00:00",26,"24.08",NULL
"2018-02-16 18:00:00",26,"23.37",NULL
"2018-02-16 19:00:00",26,"23.02",NULL
"2018-02-16 20:00:00",26,"22.24",NULL
"2018-02-16 21:00:00",26,"23.94",NULL
"2018-02-16 22:00:00",26,"22.88",NULL
"2018-02-16 23:00:00",26,"17.98",NULL
"2018-02-17 00:00:00",26,"13.67",NULL
"2018-02-17 01:00:00",26,"12.23",NULL
"2018-02-17 02:00:00",26,"11.01",NULL
"2018-02-17 03:00:00",26,"9.27",NULL
"2018-02-17 04:00:00",26,"8.36",NULL
"2018-02-17 05:00:00",26,"8.7",NULL
"2018-02-17 06:00:00",26,"11.14",NULL
"2018-02-17 07:00:00",26,"12.46",NULL
"2018-02-17 08:00:00",26,"12.51",NULL
"2018-02-17 09:00:00",26,"11.8",NULL
"2018-02-17 10:00:00",26,"10.72",NULL
"2018-02-17 11:00:00",26,"19.41",NULL
"2018-02-17 12:00:00",26,"17.18",NULL
"2018-02-17 13:00:00",26,"11.38",NULL
"2018-02-17 14:00:00",26,"7.04",NULL
"2018-02-17 15:00:00",26,"4.51",NULL
"2018-02-17 16:00:00",26,"3.63",NULL
"2018-02-17 17:00:00",26,"2.99",NULL
"2018-02-17 18:00:00",26,"3.81",NULL
"2018-02-17 19:00:00",26,"4.45",NULL
"2018-02-17 20:00:00",26,"3.53",NULL
"2018-02-17 21:00:00",26,"3.23",NULL
"2018-02-17 22:00:00",26,"3.8",NULL
"2018-02-17 23:00:00",26,"3.57",NULL
"2018-02-18 00:00:00",26,NULL,NULL
"2018-02-18 01:00:00",26,NULL,NULL
"2018-02-18 02:00:00",26,NULL,NULL
"2018-02-18 03:00:00",26,NULL,NULL
"2018-02-18 04:00:00",26,NULL,NULL
"2018-02-18 05:00:00",26,NULL,NULL
"2018-02-18 06:00:00",26,NULL,NULL
"2018-02-18 07:00:00",26,NULL,NULL
"2018-02-18 08:00:00",26,NULL,NULL
