"road_type","id_vehicle","vehicles_percentage","road_slope"
"rural",112,"10",NULL
"highway",112,"10",NULL
"urban",113,"80",NULL
"rural",113,"10",NULL
"highway",113,"10",NULL
"urban",114,"80",NULL
"rural",114,"10",NULL
"highway",114,"10",NULL
"urban",115,"80",NULL
"rural",115,"10",NULL
"highway",115,"10",NULL
"urban",116,"80",NULL
"rural",116,"10",NULL
"highway",116,"10",NULL
"urban",117,"80",NULL
"rural",117,"10",NULL
"highway",117,"10",NULL
"urban",118,"80",NULL
"rural",118,"10",NULL
"highway",118,"10",NULL
"urban",119,"80",NULL
"rural",119,"10",NULL
"highway",119,"10",NULL
"urban",120,"80",NULL
"rural",120,"10",NULL
"highway",120,"10",NULL
"urban",121,"80",NULL
"rural",121,"10",NULL
"highway",121,"10",NULL
"urban",122,"80",NULL
"rural",122,"10",NULL
"highway",122,"10",NULL
"urban",123,"80",NULL
"rural",123,"10",NULL
"urban",126,"80",NULL
"highway",129,"10",NULL
"rural",133,"10",NULL
"urban",137,"80",NULL
"highway",140,"10",NULL
"rural",144,"10",NULL
"urban",148,"80",NULL
"highway",151,"10",NULL
"rural",155,"10",NULL
"urban",159,"80",NULL
"rural",162,"10",NULL
"highway",162,"10",NULL
"urban",163,"80",NULL
"rural",163,"10",NULL
"highway",163,"10",NULL
"urban",164,"80",NULL
"rural",164,"10",NULL
"highway",164,"10",NULL
"urban",165,"80",NULL
"rural",165,"10",NULL
"highway",165,"10",NULL
"urban",166,"80",NULL
"rural",166,"10",NULL
"highway",166,"10",NULL
"urban",167,"80",NULL
"rural",167,"10",NULL
"highway",167,"10",NULL
"urban",168,"80",NULL
"rural",168,"10",NULL
"highway",168,"10",NULL
"urban",169,"80",NULL
"rural",169,"10",NULL
"highway",169,"10",NULL
"urban",170,"80",NULL
"rural",170,"10",NULL
"highway",170,"10",NULL
"urban",171,"80",NULL
"rural",171,"10",NULL
"highway",171,"10",NULL
"urban",172,"80",NULL
"rural",172,"10",NULL
"highway",172,"10",NULL
"urban",173,"80",NULL
"rural",173,"10",NULL
"highway",173,"10",NULL
"urban",174,"80",NULL
"rural",174,"10",NULL
"highway",174,"10",NULL
"urban",175,"80",NULL
"rural",175,"10",NULL
"highway",175,"10",NULL
"urban",176,"80",NULL
"rural",176,"10",NULL
"highway",176,"10",NULL
"urban",177,"80",NULL
"rural",177,"10",NULL
"highway",177,"10",NULL
"urban",178,"80",NULL
"rural",178,"10",NULL
"highway",178,"10",NULL
"urban",179,"80",NULL
"rural",179,"10",NULL
"highway",179,"10",NULL
"urban",180,"80",NULL
"rural",180,"10",NULL
"highway",180,"10",NULL
"urban",181,"80",NULL
"rural",181,"10",NULL
"highway",181,"10",NULL
"urban",182,"80",NULL
"rural",182,"10",NULL
"highway",182,"10",NULL
"urban",183,"80",NULL
"rural",183,"10",NULL
"highway",183,"10",NULL
"urban",184,"80",NULL
"rural",184,"10",NULL
"highway",184,"10",NULL
"urban",185,"80",NULL
"highway",187,"10",NULL
"rural",191,"10",NULL
"urban",195,"80",NULL
"highway",198,"10",NULL
"rural",202,"10",NULL
"urban",206,"80",NULL
"highway",209,"10",NULL
"rural",213,"10",NULL
"urban",217,"80",NULL
"highway",220,"10",NULL
"urban",224,"80",NULL
"rural",224,"10",NULL
"highway",224,"10",NULL
"urban",225,"80",NULL
"rural",225,"10",NULL
"highway",225,"10",NULL
"urban",226,"80",NULL
"rural",226,"10",NULL
"highway",226,"10",NULL
"urban",227,"80",NULL
"rural",227,"10",NULL
"highway",227,"10",NULL
"urban",228,"80",NULL
"rural",228,"10",NULL
"highway",228,"10",NULL
"urban",229,"80",NULL
"rural",229,"10",NULL
"highway",229,"10",NULL
"urban",230,"80",NULL
"rural",230,"10",NULL
"highway",230,"10",NULL
"urban",231,"80",NULL
"rural",231,"10",NULL
"highway",231,"10",NULL
"urban",232,"80",NULL
"rural",232,"10",NULL
"highway",232,"10",NULL
"urban",233,"80",NULL
"rural",233,"10",NULL
"highway",233,"10",NULL
"urban",234,"80",NULL
"rural",234,"10",NULL
"highway",234,"10",NULL
"urban",235,"80",NULL
"rural",235,"10",NULL
"highway",235,"10",NULL
"urban",236,"80",NULL
"rural",236,"10",NULL
"highway",236,"10",NULL
"urban",237,"80",NULL
"rural",237,"10",NULL
"highway",237,"10",NULL
"urban",238,"80",NULL
"rural",238,"10",NULL
"highway",238,"10",NULL
