"road_type","id_vehicle","vehicles_percentage","road_slope"
"highway",72,"10",NULL
"urban",73,"80",NULL
"rural",73,"10",NULL
"highway",73,"10",NULL
"urban",74,"80",NULL
"rural",74,"10",NULL
"highway",74,"10",NULL
"urban",75,"80",NULL
"highway",75,"10",NULL
"urban",76,"80",NULL
"rural",76,"10",NULL
"highway",76,"10",NULL
"urban",77,"80",NULL
"rural",77,"10",NULL
"highway",77,"10",NULL
"urban",78,"80",NULL
"rural",78,"10",NULL
"highway",78,"10",NULL
"rural",79,"10",NULL
"highway",79,"10",NULL
"urban",80,"80",NULL
"rural",80,"10",NULL
"highway",80,"10",NULL
"urban",81,"80",NULL
"rural",81,"10",NULL
"highway",81,"10",NULL
"urban",82,"80",NULL
"rural",82,"10",NULL
"urban",83,"80",NULL
"rural",83,"10",NULL
"highway",83,"10",NULL
"urban",84,"80",NULL
"rural",84,"10",NULL
"highway",84,"10",NULL
"urban",85,"80",NULL
"rural",85,"10",NULL
"highway",85,"10",NULL
"urban",86,"80",NULL
"highway",86,"10",NULL
"urban",87,"80",NULL
"rural",87,"10",NULL
"highway",87,"10",NULL
"urban",88,"80",NULL
"rural",88,"10",NULL
"highway",88,"10",NULL
"urban",89,"80",NULL
"rural",89,"10",NULL
"highway",89,"10",NULL
"rural",90,"10",NULL
"highway",90,"10",NULL
"urban",91,"80",NULL
"rural",91,"10",NULL
"highway",91,"10",NULL
"urban",92,"80",NULL
"rural",92,"10",NULL
"highway",92,"10",NULL
"urban",93,"80",NULL
"rural",93,"10",NULL
"urban",94,"80",NULL
"rural",94,"10",NULL
"highway",94,"10",NULL
